id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
859992656060369666,Rental unit in Antwerpen · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,33115970,Munna,,Groenenhoek,51.2042161,4.4438556,Private room,63,1,19,2023-08-27,4.07,3,9,19,
862159155257039820,Rental unit in Antwerpen · ★4.50 · 1 bedroom · 2 beds · 1 bath,5687914,Irina,,Historisch Centrum,51.22073,4.3984,Entire home/apt,65,1,18,2023-09-13,3.35,2,341,18,
862878077445009803,Home in Antwerpen · 1 bedroom · 1 bed · 1 bath,81903921,Floo,,Haringrode,51.20322,4.41905,Entire home/apt,79,150,0,,,1,234,0,
862896147404217387,Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,42751953,Hannah,,Historisch Centrum,51.21802,4.40094,Entire home/apt,103,2,13,2023-08-27,3.31,1,0,13,
862944006706039650,Rental unit in Antwerpen · ★4.0 · 2 bedrooms · 1 bed · 2.5 baths,30085447,Diego,,Haringrode,51.20117811432297,4.419434326191305,Private room,57,2,4,2023-08-27,1.32,2,116,4,
862962850302653780,Home in Antwerpen · Studio · 1 bed · 1 bath,508491497,House Of Co,,Borgerhout Intra Muros Zuid,51.21569,4.42698,Private room,36,90,0,,,29,358,0,
863061517634887426,Bed and breakfast in Antwerpen · ★4.91 · 1 bedroom · 2 beds · 1 private bath,508712722,Joost,,Ekeren Centrum,51.2779243,4.4223361,Private room,56,2,11,2023-09-22,2.21,2,327,11,
863100974732001317,Bed and breakfast in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 private bath,508712722,Joost,,Ekeren Centrum,51.2779243,4.4223361,Private room,56,2,9,2023-09-16,1.84,2,333,9,
863678539402175088,Rental unit in Antwerpen · ★3.40 · 1 bedroom · 2 beds · 1 bath,69598578,Mi,,Stadspark,51.2072,4.4187,Entire home/apt,59,4,5,2023-09-19,1.13,1,255,5,
863718779865280846,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,199780717,Francisco,,Zurenborg,51.20988,4.42757,Entire home/apt,65,30,1,2023-05-07,0.21,1,174,1,
864252298073032538,Rental unit in Antwerpen · ★4.80 · 1 bedroom · 1 bed · 1 bath,167012230,Lonneke,,Sint-Andries,51.21580624128226,4.3949878960847855,Entire home/apt,98,1,25,2023-09-10,4.90,2,354,25,
864333964019293155,Castle in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 private bath,269227464,Xenia,,Oud - Berchem,51.20157,4.4332,Private room,90,1,4,2023-07-30,0.91,2,316,4,
865123102069796886,Condo in Antwerpen · ★4.80 · 1 bedroom · 2 beds · 1 bath,455530955,Kristina,,Amandus - Atheneum,51.21934,4.42226,Entire home/apt,90,3,5,2023-07-29,1.47,1,154,5,
865633440894950725,Home in Antwerpen · 1 bedroom · 1 bed · 1 shared bath,479467304,Kadir,,Hoboken - Centrum,51.18335,4.35246,Private room,65,2,1,2023-05-12,0.22,3,358,1,
865715164376205202,Rental unit in Antwerpen · ★4.78 · 1 bedroom · 1 bed · 1 bath,487662519,Sima,,Centraal Station,51.212590835972954,4.420419931411743,Entire home/apt,88,1,9,2023-07-11,1.66,8,348,9,
865764076451095313,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1.5 baths,195195061,Hippolyte,,Zuid,51.20994,4.3959,Entire home/apt,190,2,0,,,1,88,0,
866018290513851108,Condo in Antwerpen · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,19817559,Stefanie,,Borgerhout Intra Muros Noord,51.21831,4.44332,Entire home/apt,53,7,3,2023-09-18,1.23,1,82,3,
866530708849286769,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,105673302,Daan,,Zurenborg,51.20879399639151,4.431720748543739,Entire home/apt,146,2,0,,,1,357,0,
866555075862832011,Home in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,479467304,Kadir,,Hoboken - Noord,51.18311,4.35423,Private room,57,1,3,2023-08-03,1.06,3,296,3,
866657774292058804,Rental unit in Antwerpen · ★4.42 · 1 bedroom · 1 bed · 1 bath,447770126,Alisa,,Centraal Station,51.21812,4.42131,Entire home/apt,64,1,33,2023-09-08,6.31,1,0,33,
867077719518923938,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 2 beds · 1 bath,79434903,Tobias,,Theaterbuurt-Meir,51.21456,4.40953,Entire home/apt,95,1,4,2023-08-26,0.83,4,345,4,
867944171961697292,Rental unit in Antwerpen · ★4.50 · 1 bedroom · 1 bed · 1 bath,503185101,Domitys,,Nieuw - Zuid,51.20503,4.3847,Entire home/apt,79,7,4,2023-08-11,1.38,7,142,4,
868454268604553517,Condo in Antwerpen · ★4.71 · 3 bedrooms · 3 beds · 1.5 baths,41749602,Sonia,,Eilandje,51.227623220172745,4.40567247569561,Entire home/apt,150,2,7,2023-08-27,2.50,1,0,7,
868751173805970710,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,502321281,Peter,,Linkeroever,51.21893621981224,4.361915634918199,Entire home/apt,56,5,4,2023-09-02,1.03,2,151,4,
